Category,Product Link,Product Name,Price,Quantity
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile3_copy_co.html,Bleekselderij,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile_copy_397541113.html,Paksoi,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile17_copy.html,Snijbonen,N/A,400 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile_12442466.html,Haricots verts,N/A,250 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile10.html,Courgette,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile11_copy.html,Broccoli,N/A,500 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile_21089864_750972984.html,Witte kool,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile_21089864.html,Chinese kool,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile22.html,Aubergine,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile3.html,Wortelen,N/A,1 kg
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile3_copy.html,Venkel,N/A,300 g.
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile11_copy_7.html,Bloemkool,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile3_copy_co_954205536.html,Spitskool,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile3_copy_co_69309153.html,Prei,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile3_copy_co_386814779.html,Geschilde asperges,N/A,400 g.
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile_12442466_1099460404.html,Groene asperges,N/A,350 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile3_copy_1899315980.html,Waspeen,N/A,500 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile_21089864_902857228.html,Rode kool,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_2028277568/par/articletile_207239357.html,Knolselderij,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1620878252/par/articletile5.html,Witlof,N/A,500 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1620878252/par/articletile13_copy_c.html,Radijs,N/A,250 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1620878252/par/articletile8.html,Komkommer,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1620878252/par/articletile7_copy.html,Bosuien,N/A,Per bos
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1620878252/par/articletile13_copy_1.html,Biologische rode bieten,N/A,500-g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1620878252/par/articletile_1789869463.html,Chinese kool,N/A,Per stuk
