product_name,product_price,product_link,product_quantity
BAPKINI ZONNEPITTEN,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/bapkini-zonnepitten-300g_4605362007115,300G
BASAK BAKPOEDER ,0.49,https://anamarket.uwbuurtwinkel.nl/product/en/basak-bakpoeder-5x10g_8690906401050,5X10G
BASAK BUGDAY NISASTASI,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/basak-bugday-nisastasi-200g_8690906000413,200G
BASAK CACAO,2.29,https://anamarket.uwbuurtwinkel.nl/product/en/basak-cacao-100g_8690906001427,100G
BASAK GRIESMEEL,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/basak-griesmeel-500g_8690906001991,500G
BASAK MISIR NISASTASI,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/basak-misir-nisastasi-200g_8690906000314,200G
BASAK VANILLE SUIKER,0.59,https://anamarket.uwbuurtwinkel.nl/product/en/basak-vanille-suiker-5x30g_8690906401258,5X30G
BASRA DADEL SIROOP,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/basra-dadel-siroop-450g_8710742021783,450G
BATJAUW BAKKELJAUW,4.89,https://anamarket.uwbuurtwinkel.nl/product/en/batjauw-bakkeljauw-400g_8718481570975,400G
BBQ MARINADE,2.25,https://anamarket.uwbuurtwinkel.nl/product/en/bbq-marinade-375g_8710161004695,375G
BEREKET BRUIN ROND BROOD,2.69,https://anamarket.uwbuurtwinkel.nl/product/en/bereket-bruin-rond-brood-800g_4022046804134,800G
BEREKET KLEIN PIDE,1.5,https://anamarket.uwbuurtwinkel.nl/product/en/bereket-klein-pide-400g_4022046800051,400G
BEREKET SIMIT,2.25,https://anamarket.uwbuurtwinkel.nl/product/en/bereket-simit-2x_4022046802109,2X
BEREKET WIT BROOD SESAM,2.69,https://anamarket.uwbuurtwinkel.nl/product/en/bereket-wit-brood-sesam-800g_4022046800440,800G
BEYBABA BOL TUZLU CEKIRDEK,0.99,https://anamarket.uwbuurtwinkel.nl/product/en/beybaba-bol-tuzlu-cekirdek-200g_8692888616361,200G
BEYBABA CEKIRDEK TUZLU,0.99,https://anamarket.uwbuurtwinkel.nl/product/en/beybaba-cekirdek-tuzlu-200g_8692888616378,200G
BEYBABA CEVIZLI SUCUK,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/beybaba-cevizli-sucuk-400g_8692888607321,400G
BEYBABA DAKOTA ZOUT,0.99,https://anamarket.uwbuurtwinkel.nl/product/en/beybaba-dakota-zout-200g_8692888617818,200G
BEYBABA HAZELNOTEN,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/beybaba-hazelnoten-200gr_8697441480519,200GR
BEYBABA MEYVELI LOKUM,2.79,https://anamarket.uwbuurtwinkel.nl/product/en/beybaba-meyveli-lokum-500g_8692888607338,500G
BEYBABA MOERBEIEN,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/beybaba-moerbeien-200g_8697441420966,200G
BEYBABA PISMANIYE,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/beybaba-pismaniye-200g_8697441482650,200G
BEYBABA PISTACHE,3.69,https://anamarket.uwbuurtwinkel.nl/product/en/beybaba-pistache-200g_8692888605457,200G
BEYBABA POMPOENPIT,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/beybaba-pompoenpit-200g_8692888606577,200G
BEYBABA SACAK PISMANIYE,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/beybaba-sacak-pismaniye-250g_8682054502277,250G
