product_name,product_link,product_category,product_price,product_quantity
Jumbo Biologische Appels 1kg,,aardappelen_groente_fruit,3.69,kilo
Jumbo Biologisch Gewassen Spinazie 200g,,aardappelen_groente_fruit,2.75,kilo
Jumbo Cherry Tomaten 400g,,aardappelen_groente_fruit,2.99,kilo
Jumbo Bosui,,aardappelen_groente_fruit,0.89,stuk
Jumbo Avocado's 750g,,aardappelen_groente_fruit,2.99,kilo
Jumbo Melange IJsbergsla & Veldsla 200g,,aardappelen_groente_fruit,3.09,kilo
Jumbo Aardappelen Kruimig 800g,,aardappelen_groente_fruit,1.65,kilo
Jumbo Roerbakmix Italiaans 400g,,aardappelen_groente_fruit,1.99,kilo
Jumbo Kropsla,,aardappelen_groente_fruit,0.99,stuk
Jumbo Biologische Komkommer,,aardappelen_groente_fruit,1.45,stuk
Jumbo Italiaanse Roerbakmix Zonder Ui 400g,,aardappelen_groente_fruit,2.79,kilo
Hak Rode Kool met Stukjes Appel 355g,,aardappelen_groente_fruit,2.3,kilo
Jumbo Ongeroosterde Pijnboompitten 100g,,aardappelen_groente_fruit,4.89,kilo
Jumbo Krieltjes Voordeelverpakking 1kg,,aardappelen_groente_fruit,2.19,kilo
Jumbo Gesneden Snijbonen 600g,,aardappelen_groente_fruit,3.19,kilo
Jumbo Paprika Rood 1ST,,aardappelen_groente_fruit,0.73,stuk
Jumbo Biologische Trostomaten 500g,,aardappelen_groente_fruit,2.79,kilo
Jumbo Groene Salade Italiaanse Stijl 250g,,aardappelen_groente_fruit,3.89,kilo
Jumbo Gewassen Spinazie 400g,,aardappelen_groente_fruit,1.65,kilo
Fruitbox Conference Peren 3KG,,aardappelen_groente_fruit,7.79,stuk
Jumbo Groene Salade Griekse Stijl 300g,,aardappelen_groente_fruit,4.19,kilo
Avocado 1 Stuk,,aardappelen_groente_fruit,1.29,stuk
Jumbo Gesneden Champignons 250g,,aardappelen_groente_fruit,2.39,kilo
JUMBO Frambozen 250g,,aardappelen_groente_fruit,4.65,kilo
Jumbo Gekookte Bietjes Biologisch 500g,,aardappelen_groente_fruit,1.39,kilo
Jumbo Gesneden Prei 400g,,aardappelen_groente_fruit,2.09,kilo
Jumbo Geschoonde Spruitjes 350g,,aardappelen_groente_fruit,2.35,kilo
Hak Witte Bonen in Tomatensaus 360g,,aardappelen_groente_fruit,2.54,kilo
Jumbo Zoet & Sappig Mini Roma Trostomaten 300g,,aardappelen_groente_fruit,2.59,kilo
Pink Lady Kids Appels,,aardappelen_groente_fruit,3.69,stuk
Jumbo Spitskool 2-3 Personen,,aardappelen_groente_fruit,1.79,stuk
Jumbo Knoflook 250g,,aardappelen_groente_fruit,2.05,kilo
Jumbo Melange IJsbergsla 400g,,aardappelen_groente_fruit,2.49,kilo
Jumbo Snackgroente Tomaatjes 250g,,aardappelen_groente_fruit,2.19,kilo
Jumbo Knoflook 100g,,aardappelen_groente_fruit,1.25,kilo
Jumbo Mango 120g,,aardappelen_groente_fruit,2.29,kilo
Jumbo Melange Jonge Bladsla & Rucola 150g,,aardappelen_groente_fruit,2.4,kilo
Hak Sperziebonen 340g,,aardappelen_groente_fruit,1.81,kilo
Jumbo Mango 2 Stuks,,aardappelen_groente_fruit,3.59,stuk
Hak Worteltjes 350g,,aardappelen_groente_fruit,1.95,kilo
Jumbo Roerbakmix Mexicaans 400g,,aardappelen_groente_fruit,2.39,kilo
Jumbo Gesneden Andijvie 400g,,aardappelen_groente_fruit,1.7,kilo
Jumbo Melange Fijnproeverssla 150g,,aardappelen_groente_fruit,2.99,kilo
Jumbo Perziken 1kg,,aardappelen_groente_fruit,3.29,kilo
Jumbo Ananas Vers 1 Stuk,,aardappelen_groente_fruit,3.99,kilo
Jumbo Biologisch Courgette,,aardappelen_groente_fruit,1.29,stuk
Jumbo Minikrieltjes 600g,,aardappelen_groente_fruit,1.19,kilo
Jumbo Roosjesbloemkool 400g,,aardappelen_groente_fruit,2.65,kilo
Jumbo Fijngesneden IJsbergsla 200g,,aardappelen_groente_fruit,1.58,kilo
Jumbo Wokgroenten Oosters 600g,,aardappelen_groente_fruit,3.64,kilo
Jumbo Limoenen 3 Stuks,,aardappelen_groente_fruit,1.29,stuk
Jumbo Ananas 175g,,aardappelen_groente_fruit,2.29,kilo
Jumbo Roosjes Broccoli 400g,,aardappelen_groente_fruit,2.59,kilo
Jumbo Gesneden Spitskool 400g,,aardappelen_groente_fruit,1.99,kilo
Jumbo Wokgroente Cambodjaanse Stijl 400g,,aardappelen_groente_fruit,2.95,kilo
Jumbo Fuji Appels 4 Stuks,,aardappelen_groente_fruit,2.89,stuk
Jumbo Munt 85g,,aardappelen_groente_fruit,2.29,kilo
Jumbo Aardappelen Zoet 1kg,,aardappelen_groente_fruit,2.99,kilo
Jumbo Meloenmix Watermeloen Cantaloupe Meloen Galiameloen 175g,,aardappelen_groente_fruit,2.29,kilo
Jumbo Roosjes Bloemkool & Broccoli 400g,,aardappelen_groente_fruit,2.89,kilo
Jumbo Rode Uien 500g,,aardappelen_groente_fruit,1.19,kilo
Jumbo Basilicum Vers 20g,,aardappelen_groente_fruit,1.56,kilo
Jumbo Fijne Soepgroente 400 g - Voordeelverpakking,,aardappelen_groente_fruit,1.89,kilo
Jumbo Aardappelen Vastkokend 800g,,aardappelen_groente_fruit,1.75,kilo
Jumbo Bospeen,,aardappelen_groente_fruit,1.65,stuk
Jumbo Boeren Soepgroente 400g,,aardappelen_groente_fruit,1.99,kilo
Zespri Kiwifruit Biologisch Green 4 Stuks,,aardappelen_groente_fruit,2.99,stuk
Jumbo Gesneden Bietjes & Ui 350g,,aardappelen_groente_fruit,2.79,kilo
Jumbo Cocktail Tros Tomaten 400g,,aardappelen_groente_fruit,2.19,kilo
Zespri Kiwifruit Sungold 3 Stuks,,aardappelen_groente_fruit,2.99,stuk
Jumbo Basismix Italiaans 600g,,aardappelen_groente_fruit,1.99,kilo
Jumbo Rucola Nootachtig & Licht Pittig 85g,,aardappelen_groente_fruit,1.05,kilo
Jumbo Verse Friet 1kg,,aardappelen_groente_fruit,2.45,kilo
Jumbo Fruitmix Tropisch Meloen - Ananas - Kiwi Blauwe Bes 175g,,aardappelen_groente_fruit,2.29,kilo
Hak Spinazie met Room 345g,,aardappelen_groente_fruit,2.46,kilo
Jumbo Groene Salade Tomaat & Komkommer 330g,,aardappelen_groente_fruit,3.65,kilo
Jumbo Bleekselderij,,aardappelen_groente_fruit,1.65,stuk
Jumbo Kastanje Champignons 400g,,aardappelen_groente_fruit,2.49,kilo
Jumbo Mix Wortel Bloemkool Broccoli 400g,,aardappelen_groente_fruit,2.79,kilo
Fyffes Ananas Gold,,aardappelen_groente_fruit,1.99,stuk
Jumbo Watermeloen 175g,,aardappelen_groente_fruit,2.29,kilo
Jumbo Kleine Bloemkool 2 Personen,,aardappelen_groente_fruit,1.75,stuk
Jumbo Sinaasappelen Biologisch 1kg,,aardappelen_groente_fruit,3.49,kilo
Jumbo Royal Gala Appels 4 Stuks,,aardappelen_groente_fruit,2.79,stuk
Jumbo Perssinaasappelen 4 kg - Voordeelverpakking,,aardappelen_groente_fruit,6.99,kilo
Jumbo Biologische Paprika 2 Stuks,,aardappelen_groente_fruit,2.79,stuk
